Weight
250lb
265lb
220lb
214lb
197lb
273lb
200lb
200lb
257lb
260lb
228lb
245lb
184lb
204lb
210lb
210lb
220lb
230lb
215lb
175lb
210lb
205lb
200lb
195lb
190lb
265lb
210lb
197lb
236lb
210lb
175lb
215lb
237lb
284lb
231lb
196lb
222lb
185lb
240lb
214lb
235lb
185lb
235lb
164lb
240lb
240lb
195lb
190lb
190lb
185lb
250lb
218lb
200lb
200lb
200lb
210lb
264lb
225lb
225lb
225lb
245lb
200lb
190lb
200lb
200lb
200lb
210lb
215lb
222lb
190lb
195lb
240lb
230lb
180lb
180lb
180lb
200lb
200lb
200lb
206lb
190lb
190lb
193lb
240lb
227lb
214lb
225lb
210lb
172lb
237lb
220lb
190lb
190lb
215lb
230lb
234lb
234lb
234lb
240lb
181lb
190lb
215lb
220lb
205lb
205lb
205lb
175lb
215lb
213lb
215lb
190lb
230lb
250lb
215lb
196lb
230lb
210lb
195lb
195lb
195lb
195lb
160lb
245lb
245lb
245lb
185lb
185lb
185lb
185lb
210lb
190lb
190lb
190lb
254lb
215lb
215lb
215lb
201lb
220lb
245lb
240lb
220lb
209lb
197lb
248lb
209lb
209lb
209lb
245lb
245lb
245lb
209lb
250lb
265lb
220lb
214lb
197lb
273lb
200lb
200lb
257lb
260lb
260lb
260lb
228lb
245lb
245lb
245lb
245lb
184lb
204lb
210lb
210lb
210lb
210lb
220lb
230lb
215lb
175lb
210lb
205lb
200lb
195lb
190lb
265lb
210lb
197lb
236lb
210lb
175lb
175lb
175lb
215lb
237lb
284lb
231lb
231lb
231lb
196lb
222lb
185lb
240lb
214lb
235lb
185lb
185lb
185lb
235lb
164lb
240lb
240lb
